"Item","Location","Sublocation","Quantity"
"(037684) SPARK PLUG BOSCH UR4A1130 WAVE 100 ","Default Location","","2.0000"
"006311 FUEL FILTER VIC B ","Default Location","","1.0000"
"1 GANG SWITCH WITH REFLECTOR","Default Location","","2.0000"
"1 PORT FACEPLATE HORIZONTAL","Default Location","","3.0000"
"1 PORT FACEPLATE HORIZONTAL B","Default Location","","114.0000"
"1.5FT 21.5”W X 18”D X 1.5ft.H WALL MOUNTED DATA CABINET","Default Location","","6.0000"
"103 CLASSIC POLOSHIRT LARGE WHITE","Default Location","","100.0000"
"103 CLASSIC POLOSHIRT MEDIUM WHITE","Default Location","","90.0000"
"12 PORT MANAGE FIBER SWITCHED","Default Location","","-1.0000"
"1200VA IC-CONTROLLED UPS","Default Location","","-6.0000"
"1272 BACK-UP BATTERY 12V 7AH","Default Location","","2.0000"
"16 CHANNEL ULTRA 4K H.265 NETWORK VIDEO RECORDER (INCLUSIVE OF 2X4TB SURVEILLANCE)","Default Location","","-1.0000"
"16 PORT MANAGED PoE+ GIGABIT SWITCH WITH 2SFP ","Default Location","","-6.0000"
"16 PORT POE","Default Location","","2.0000"
"1U 24 PORT BLANK PANEL W/ REAR CM ","Default Location","","41.0000"
"1U 2HOLE STEEL CABLE ORGANIZER","Default Location","","2.0000"
"2 GANG TERMINAL BOX","Default Location","","7.0000"
"2 PORTS FACEPLATE HORIZONTAL","Default Location","","3.0000"
"2 PORTS FACEPLATE HORIZONTAL B","Default Location","","41.0000"
"2042 METAL SHARPENER DOUBLE","Default Location","","-1.0000"
"210-AQQE DELLEMC POWEREDGE® R240","Default Location","","1.0000"
"24 PORT BLANK PATCH PANEL","Default Location","","2.0000"
"24 PORT CAT6 PATCH PANEL LOADED","Default Location","","56.0000"
"24 PORT PATCH PANEL CAT6 LOADED","Default Location","","1.0000"
"24 PORT POE SWITCH","Default Location","","2.0000"
"2FT. DATA CABINET CLOSED TYPE","Default Location","","1.0000"
"2FT. DATA CABINET CLOSED TYPE GREY COLOR","Default Location","","2.0000"
