"DefaultValue","CustomValue"
" Advanced"," Advanced"
"- Canada: Yes, I need to charge two separate taxes to my customers.","- Canada: Yes, I need to charge two separate taxes to my customers."
"- Currently connected.\n","- Currently connected.\n"
"- Ontario, Canada: no sales tax is charged on children's clothing","- Ontario, Canada: no sales tax is charged on children's clothing"
"- Ontario, Canada: Yes, two types of tax are shown - PST and GST","- Ontario, Canada: Yes, two types of tax are shown - PST and GST"
"- Quebec, Canada: Yes, two types of tax are shown - GST and QST","- Quebec, Canada: Yes, two types of tax are shown - GST and QST"
" Simple"," Simple"
"- UK: No, all taxes are included in prices.","- UK: No, all taxes are included in prices."
"- UK: No, taxes are included in prices","- UK: No, taxes are included in prices"
"- United Kingdom: no VAT is charged on books","- United Kingdom: no VAT is charged on books"
"- USA and Canada: No, I only sell wholesale and never charge taxes","- USA and Canada: No, I only sell wholesale and never charge taxes"
"- USA and Canada: Yes, I sometimes charge taxes to customers","- USA and Canada: Yes, I sometimes charge taxes to customers"
"- USA: No, all sales taxes are shown combined","- USA: No, all sales taxes are shown combined"
"- USA: Yes, I only charge one combined tax to my customers.","- USA: Yes, I only charge one combined tax to my customers."
"- Washington, USA: no sales tax is charged on food items","- Washington, USA: no sales tax is charged on food items"
"""A bird in hand is safer than one overhead.""","""A bird in hand is safer than one overhead."""
"""A penny saved is a penny earned.""  -Benjamin Franklin","""A penny saved is a penny earned.""  -Benjamin Franklin"
"""All things are possible, except skiing through a revolving door""","""All things are possible, except skiing through a revolving door"""
"""Connect different computers together!""","""Connect different computers together!"""
"""Get the full power of inFlow!""","""Get the full power of inFlow!"""
"""Happiness is good health and a bad memory.""  -Ingrid Bergman","""Happiness is good health and a bad memory.""  -Ingrid Bergman"
"""I used to be indecisive, but now I'm not so sure.""","""I used to be indecisive, but now I'm not so sure."""
"""inFlow works flawlessly and your price is just amazing.""  -Mark Thavnal","""inFlow works flawlessly and your price is just amazing.""  -Mark Thavnal"
"""It's bad luck to be superstitious.""","""It's bad luck to be superstitious."""
"""Knowledge is knowing a tomato is a fruit;  Wisdom is not putting it in a fruit salad.""","""Knowledge is knowing a tomato is a fruit;  Wisdom is not putting it in a fruit salad."""
"""Let everyone work smoothly together!""","""Let everyone work smoothly together!"""
"""Misers are no fun to live with but they make great ancestors.""  -Tom Snyder","""Misers are no fun to live with but they make great ancestors.""  -Tom Snyder"
"""Money cannot buy everything, that's what credit cards are for.""","""Money cannot buy everything, that's what credit cards are for."""
"""Share the love!""","""Share the love!"""
"""Software is an investment for the future.""","""Software is an investment for the future."""
"""There are 3 kinds of people, those who can count and those that can't.""","""There are 3 kinds of people, those who can count and those that can't."""
"""Time flies like an arrow, fruit flies like a banana.""  -Groucho Marks","""Time flies like an arrow, fruit flies like a banana.""  -Groucho Marks"
"""Upgrade later?  No problem!""","""Upgrade later?  No problem!"""
"""Warning - dates in your calendar are closer than they appear.""","""Warning - dates in your calendar are closer than they appear."""
"""Your Satisfaction - Guaranteed!""","""Your Satisfaction - Guaranteed!"""
"# of Products + Customers","# of Products + Customers"
"# of Reports","# of Reports"
"# of Users in inFlow","# of Users in inFlow"
"% Markup","% Markup"
"&Add","&Add"
"&Add Component Item","&Add Component Item"
"&Add New","&Add New"
"&Add Products","&Add Products"
"&Add to My Reports","&Add to My Reports"
"&Adjust","&Adjust"
"&Adjust Selected Row","&Adjust Selected Row"
"&Auto Fill","&Auto Fill"
"&Browse","&Browse"
"&Cancel","&Cancel"
"&Cancel Count Sheet","&Cancel Count Sheet"
"&Cancel Order","&Cancel Order"
"&Carriers","&Carriers"
"&Clear","&Clear"
"&Clear column proportions for printed {0}","&Clear column proportions for printed {0}"
"&Close","&Close"
"&Complete","&Complete"
"&Complete!","&Complete!"
"&Connect","&Connect"
"&Create!","&Create!"
"&Deactivate","&Deactivate"
"&Delete","&Delete"
"&Don't Save","&Don't Save"
"&Don't Update","&Don't Update"
"&Edit Address","&Edit Address"
"&Edit Sublocations","&Edit Sublocations"
"&Edit User","&Edit User"
"&Export","&Export"
"&Generate Report","&Generate Report"
"&Go","&Go"
"&Import","&Import"
"&Later","&Later"
"&Log in","&Log in"
"&Next >","&Next >"
"&Non-Stockable Product - Don't need to track stock level.","&Non-Stockable Product - Don't need to track stock level."
"&Not Now","&Not Now"
"&Ok","&Ok"
"&OK","&OK"
"&Paid in Full","&Paid in Full"
"&Pay Vendor","&Pay Vendor"
"&Payment Methods","&Payment Methods"
"&Print","&Print"
"&Proceed","&Proceed"
"&Process!","&Process!"
"&Receive Inventory","&Receive Inventory"
"&Refresh","&Refresh"
"&Refresh Local Data","&Refresh Local Data"
"&Refund in Full","&Refund in Full"
"&Register","&Register"
"&Remove","&Remove"
"&Remove Item","&Remove Item"
"&Rename","&Rename"
"&Reorder","&Reorder"
"&Reset","&Reset"
"&Reset ""Always Do This""","&Reset ""Always Do This"""
"&Reset All","&Reset All"
"&Restock All","&Restock All"
"&Sales Reps","&Sales Reps"
"&Save","&Save"
"&Save && Close","&Save && Close"
"&Save column proportions for all printed {0}","&Save column proportions for all printed {0}"
"&Save Key File","&Save Key File"
"&Save Selected","&Save Selected"
"&Search","&Search"
"&Split Order by Picked","&Split Order by Picked"
"&Stock Adjustment","&Stock Adjustment"
"&Stockable Product - Tracks stock level.","&Stockable Product - Tracks stock level."
"&Suggest low-stock items","&Suggest low-stock items"
"&Take Snapshot","&Take Snapshot"
"&Terms","&Terms"
"&Transfer","&Transfer"
"&Transfer Selected Row","&Transfer Selected Row"
"&Units","&Units"
"&Unstock All","&Unstock All"
"&Upgrade Now","&Upgrade Now"
"&Verify Stock Changes","&Verify Stock Changes"
"&Yes","&Yes"
"(Active)","(Active)"
"(Foreign)","(Foreign)"
"(Home)","(Home)"
"(Inactive)","(Inactive)"
"(Name of underlying report)","(Name of underlying report)"
"(New)","(New)"
"(None yet)","(None yet)"
"(none)","(none)"
"(num of products)","(num of products)"
"(Optional) The person responsible for this counting process.","(Optional) The person responsible for this counting process."
"(Optional) The person responsible for this work order assembly.","(Optional) The person responsible for this work order assembly."
"(Please right click here and select Paste to paste in the detailed error information.  Then tell us a little about yourself and the problem you're having and we'll get back to you!)","(Please right click here and select Paste to paste in the detailed error information.  Then tell us a little about yourself and the problem you're having and we'll get back to you!)"
"(Premium Edition Feature)","(Premium Edition Feature)"
"(quick and simple)","(quick and simple)"
"(Regular Edition Feature)","(Regular Edition Feature)"
"(see help)","(see help)"
"(See help)","(See help)"
"(The detailed error has been copied to Windows clipboard.  Please right click here and select Paste to paste in the detailed error information.  Then tell us a little about yourself and the problem you're having and we'll get back to you!)","(The detailed error has been copied to Windows clipboard.  Please right click here and select Paste to paste in the detailed error information.  Then tell us a little about yourself and the problem you're having and we'll get back to you!)"
"(with full details)","(with full details)"
"*In multi-user mode, the Free Edition can connect to other computers in read-only mode.  Each computer on the Regular or Premium edition requires a license.  You can have at most 5 licenses for the Regular Editon networked at once.","*In multi-user mode, the Free Edition can connect to other computers in read-only mode.  Each computer on the Regular or Premium edition requires a license.  You can have at most 5 licenses for the Regular Editon networked at once."
", Auto Backup Keep Up To X Days :",", Auto Backup Keep Up To X Days :"
", Require Login :",", Require Login :"
", Require Login For One User :",", Require Login For One User :"
", Show Product Tax :",", Show Product Tax :"
", Show Secondary Tax :",", Show Secondary Tax :"
", Show Sublocation :",", Show Sublocation :"
", Show Taxes :",", Show Taxes :"
", Show Uom :",", Show Uom :"
", Show Vendor Products Only :",", Show Vendor Products Only :"
", Total:",", Total:"
", Types:",", Types:"
", Warn About Negative Inventory :",", Warn About Negative Inventory :"
"; inFlow requires this to run.","; inFlow requires this to run."
"{0}  ({1} days left)","{0}  ({1} days left)"
"{0}  (Just for TODAY)","{0}  (Just for TODAY)"
"{0}  (Last Day TODAY)","{0}  (Last Day TODAY)"
"{0} Activated!","{0} Activated!"
"{0} Customer Failed.  Changes are NOT saved.  Please try again.","{0} Customer Failed.  Changes are NOT saved.  Please try again."
"{0} Deactivated!","{0} Deactivated!"
"{0} Edition","{0} Edition"
"{0} finished products added","{0} finished products added"
"{0} inventory records added to count sheet.","{0} inventory records added to count sheet."
"{0} is not valid and cannot be saved.","{0} is not valid and cannot be saved."
"{0} is not valid and cannot be saved.\n","{0} is not valid and cannot be saved.\n"
"{0} lines newly added","{0} lines newly added"
"{0} lines unchanged -- ignored","{0} lines unchanged -- ignored"
"{0} lines updated","{0} lines updated"
"{0} lines with errors.  Subsequent lines skipped.","{0} lines with errors.  Subsequent lines skipped."
"{0} lines with required fields missing -- ignored.","{0} lines with required fields missing -- ignored."
"{0} lines without enough columns -- ignored.","{0} lines without enough columns -- ignored."
"{0} off discount promo code","{0} off discount promo code"
"{0} off discount promo code: {1}  ({2} days left)","{0} off discount promo code: {1}  ({2} days left)"
"{0} off discount promo code: {1}  (Just for TODAY)","{0} off discount promo code: {1}  (Just for TODAY)"
"{0} off discount promo code: {1}  (Last Day TODAY)","{0} off discount promo code: {1}  (Last Day TODAY)"
"{0} Product Failed.  Changes are NOT saved.  Please try again.","{0} Product Failed.  Changes are NOT saved.  Please try again."
"{0} products added","{0} products added"
"{0} products and customers saved.  Free Edition limits to only 100.  Upgrade to save more!","{0} products and customers saved.  Free Edition limits to only 100.  Upgrade to save more!"
"{0} steps remaining.","{0} steps remaining."
"{0} Vendor Failed.  Changes are NOT saved.  Please try again.","{0} Vendor Failed.  Changes are NOT saved.  Please try again."
"< &Previous","< &Previous"
"< Add New .. >","< Add New .. >"
"< Add New Language .. >","< Add New Language .. >"
"< Add New Location .. >","< Add New Location .. >"
"< Type to add .. >","< Type to add .. >"
"<< Less","<< Less"
"<a action=""605"" tab=""100"">Upgrade now</a> and receive 10% off - With our 45 days money back guarantee, what have you got to lose?","<a action=""605"" tab=""100"">Upgrade now</a> and receive 10% off - With our 45 days money back guarantee, what have you got to lose?"
"<a action=""605"" tab=""102"">Try out</a> the Regular or Premium Editions of inFlow!","<a action=""605"" tab=""102"">Try out</a> the Regular or Premium Editions of inFlow!"
"<a action=""802"" tab=""102"">Customize inFlow</a> to your needs","<a action=""802"" tab=""102"">Customize inFlow</a> to your needs"
"> Continue with Offline Activation","> Continue with Offline Activation"
"> Hide Details","> Hide Details"
"> Hide Error","> Hide Error"
"> Show Details","> Show Details"
"> Show Error","> Show Error"
">> More",">> More"
"0 of 0","0 of 0"
"1% discount is still a saving!  Take Ben's advice and <a action=""605"" tab=""100"">UPGRADE now</a>.","1% discount is still a saving!  Take Ben's advice and <a action=""605"" tab=""100"">UPGRADE now</a>."
"1)  Watch Online Demo Video","1)  Watch Online Demo Video"
"10% off Discount Promo Code","10% off Discount Promo Code"
"10% off Discount Promo Code\r\n","10% off Discount Promo Code\r\n"
"100 products + customers","100 products + customers"
"15 business reports","15 business reports"
"1st Tax Applicable","1st Tax Applicable"
"1st Tax Name","1st Tax Name"
"1st Tax Rate","1st Tax Rate"
"2 Sales Invoices Due","2 Sales Invoices Due"
"2 Sales Invoices\r\n Due","2 Sales Invoices\r\n Due"
"2)  Read Getting Started Article","2)  Read Getting Started Article"
"2)  Try with Sample Data","2)  Try with Sample Data"
"22 business reports","22 business reports"
"2nd Tax Applicable","2nd Tax Applicable"
"2nd Tax Name","2nd Tax Name"
"2nd Tax on top of 1st","2nd Tax on top of 1st"
"2nd Tax Rate","2nd Tax Rate"
"3 Purchase Orders \r\n to be Paid","3 Purchase Orders \r\n to be Paid"
"3 Purchase Orders \r\n to be Received","3 Purchase Orders \r\n to be Received"
"3 Sales Order\r\n to be Shipped","3 Sales Order\r\n to be Shipped"
"3)  Read Getting Started Article","3)  Read Getting Started Article"
"4 small steps to get set up; one giant leap for your organization.","4 small steps to get set up; one giant leap for your organization."
"5 steps remaining","5 steps remaining"
"A brief description of the product here.","A brief description of the product here."
"A brief name for this custom document type","A brief name for this custom document type"
"A discount percentage to be applied to the prices in this report.","A discount percentage to be applied to the prices in this report."
"A few customizable fields you have set up for customers.  You can change these by clicking Add Custom Fields below.","A few customizable fields you have set up for customers.  You can change these by clicking Add Custom Fields below."
"A few customizable fields you have set up for customers.  You can change these through Company Settings.","A few customizable fields you have set up for customers.  You can change these through Company Settings."
"A few customizable fields you have set up for products.  You can change these by clicking Add Custom Fields below.","A few customizable fields you have set up for products.  You can change these by clicking Add Custom Fields below."
"A few customizable fields you have set up for products.  You can change these through Company Settings.","A few customizable fields you have set up for products.  You can change these through Company Settings."
"A few customizable fields you have set up for vendors.  You can change these by clicking Add Custom Fields below.","A few customizable fields you have set up for vendors.  You can change these by clicking Add Custom Fields below."
"A few customizable fields you have set up for vendors.  You can change these through Company Settings.","A few customizable fields you have set up for vendors.  You can change these through Company Settings."
"A few things that may need your attention.","A few things that may need your attention."
"A list of products showing a summary of how much has been sold and purchased.","A list of products showing a summary of how much has been sold and purchased."
"A list of your customers and their contact information.","A list of your customers and their contact information."
"A list of your vendors and their contact information.","A list of your vendors and their contact information."
"A new version of inFlow (version {0}) is available.","A new version of inFlow (version {0}) is available."
"A new version of inFlow is available with some enhanced features. Would you like to install the new features now?","A new version of inFlow is available with some enhanced features. Would you like to install the new features now?"
"A percentage discount offered to this customer off the unit price.","A percentage discount offered to this customer off the unit price."
"A percentage or fixed discount off the unit price given to you by the vendor.","A percentage or fixed discount off the unit price given to you by the vendor."
"A percentage or fixed discount offered to this customer off the unit price.","A percentage or fixed discount offered to this customer off the unit price."
"A report which breaks down the products and sales orders to show you how well a product has been selling.","A report which breaks down the products and sales orders to show you how well a product has been selling."
"A space for any extra remarks about this customer.","A space for any extra remarks about this customer."
"A space for any extra remarks about this product.","A space for any extra remarks about this product."
"A space for any extra remarks about this vendor.","A space for any extra remarks about this vendor."
"About inFlow","About inFlow"
"Access Rights","Access Rights"
"According to our records, you've already had a trial of inFlow.  If you'd like to request an extended trial before purchasing, please fill in your email and let us know why below, and we'll get back to you in a few days.","According to our records, you've already had a trial of inFlow.  If you'd like to request an extended trial before purchasing, please fill in your email and let us know why below, and we'll get back to you in a few days."
"Account successfully merged!","Account successfully merged!"
"Activate","Activate"
"Activate Trial","Activate Trial"
"Activate with License Key","Activate with License Key"
"Activate with web account (Recommended)","Activate with web account (Recommended)"
"Activated!","Activated!"
"Activating","Activating"
"Activating Customer...","Activating Customer..."
"Activating inFlow, please wait...","Activating inFlow, please wait..."
"Activating Product...","Activating Product..."
"Activating Vendor...","Activating Vendor..."
"Activation hardware information has a syntax error","Activation hardware information has a syntax error"
"Activation Key","Activation Key"
"Activation key does not match the specified hardware info","Activation key does not match the specified hardware info"
"Active","Active"
"Add","Add"
"Add &Finished Product","Add &Finished Product"
"Add a component (raw material or finished product) to this work order.","Add a component (raw material or finished product) to this work order."
"Add a component to this product assembly structure.","Add a component to this product assembly structure."
"Add a new custom document or select an existing one first.  Then edit the details of it here.  You can then print out the document for your orders.","Add a new custom document or select an existing one first.  Then edit the details of it here.  You can then print out the document for your orders."
"Add a new Customer to your list.","Add a new Customer to your list."
"Add a new product category within the currently selected category.","Add a new product category within the currently selected category."
"Add a new type of product to track.","Add a new type of product to track."
"Add a new user.","Add a new user."
"Add Attachment","Add Attachment"
"Add attachment files to this count sheet.","Add attachment files to this count sheet."
"Add attachment files to this customer.","Add attachment files to this customer."
"Add attachment files to this product.","Add attachment files to this product."
"Add attachment files to this Purchase Order.","Add attachment files to this Purchase Order."
"Add attachment files to this Sales Order.","Add attachment files to this Sales Order."
"Add attachment files to this vendor.","Add attachment files to this vendor."
"Add attachment files to this work order.","Add attachment files to this work order."
"Add Attachments  (Ctrl+M)","Add Attachments  (Ctrl+M)"
"Add by &Location","Add by &Location"
"Add by Location","Add by Location"
"Add Custom Fields","Add Custom Fields"
"Add it to the existing inventory levels","Add it to the existing inventory levels"
"Add Items By...","Add Items By..."
"Add multiple products to have their prices adjusted","Add multiple products to have their prices adjusted"
"Add New Address","Add New Address"
"Add new Pricing / Currency","Add new Pricing / Currency"
"Add new Pricing Scheme","Add new Pricing Scheme"
"ADD NEW:","ADD NEW:"
"Add New\r\nCustom Doc","Add New\r\nCustom Doc"
"Add or remove the suggested product tax codes to and from your own company's list of product tax codes.","Add or remove the suggested product tax codes to and from your own company's list of product tax codes."
"Add or remove the suggested taxing schemes to and from your own company's list of taxing schemes.","Add or remove the suggested taxing schemes to and from your own company's list of taxing schemes."
"Add Products Suggested","Add Products Suggested"
"Add Products, Method:","Add Products, Method:"
"add shipping","add shipping"
"Add Stickies","Add Stickies"
"Add Sticky","Add Sticky"
"Add Sticky Notes  (Ctrl+K)","Add Sticky Notes  (Ctrl+K)"
"Add sticky notes for this count sheet.","Add sticky notes for this count sheet."
"Add sticky notes for this purchase order.","Add sticky notes for this purchase order."
"Add sticky notes for this sales order.","Add sticky notes for this sales order."
"Add sticky notes for this work order.","Add sticky notes for this work order."
"Add to My Reports","Add to My Reports"
"Adding firewall exceptions...","Adding firewall exceptions..."
"Adding lines by location","Adding lines by location"
"Adding lines by Product","Adding lines by Product"
"Additional Address","Additional Address"
"Additional Address 99","Additional Address 99"
"Address","Address"
"Address Line 1","Address Line 1"
"Address Line 2","Address Line 2"
"Address Name","Address Name"
"Address Remarks","Address Remarks"
"Address Type","Address Type"
"Address)","Address)"
"Address1","Address1"
"Address2","Address2"
"Addresses","Addresses"
"Adjust inFlow's inventory records to correct for differences found during the counting process.","Adjust inFlow's inventory records to correct for differences found during the counting process."
"Adjust Stock","Adjust Stock"
"Adjust the stock quantities, possibly to correct previous errors.","Adjust the stock quantities, possibly to correct previous errors."
"Adjustment Type","Adjustment Type"
"Administrator","Administrator"
"Administrator cannot be removed.","Administrator cannot be removed."
"Adobe PDF (*.pdf)|*.pdf|Microsoft Excel (*.xls)|*.xls|Microsoft Excel Data Only (","Adobe PDF (*.pdf)|*.pdf|Microsoft Excel (*.xls)|*.xls|Microsoft Excel Data Only ("
"Advanced","Advanced"
"After Quantity","After Quantity"
"Align Center","Align Center"
"Align Left","Align Left"
"Align Right","Align Right"
"All","All"
"all 26 business reports","all 26 business reports"
"All of your data will be stored on this computer. This computer should always be powered on.","All of your data will be stored on this computer. This computer should always be powered on."
"all other features can have unlimited data, such as Sales Orders, Purchase Order, inventory level, locations, etc.","all other features can have unlimited data, such as Sales Orders, Purchase Order, inventory level, locations, etc."
"All Products","All Products"
"All products are unstocked!","All products are unstocked!"
"All products have been restocked!","All products have been restocked!"
"All products in the Purchase Order have been received!","All products in the Purchase Order have been received!"
"All Reorder Quantities are set to 0, so there's nothing to reorder.","All Reorder Quantities are set to 0, so there's nothing to reorder."
"Allow Archon Systems to collect anonymous information for future improvement.","Allow Archon Systems to collect anonymous information for future improvement."
"Allow Archon Systems to collect anonymous usage statistics.  This will allow us to focus on improving inFlow features that you use most, without personally identifying you.","Allow Archon Systems to collect anonymous usage statistics.  This will allow us to focus on improving inFlow features that you use most, without personally identifying you."
"Allow Negative Inventory :","Allow Negative Inventory :"
"Also check for beta (pre-release) updates","Also check for beta (pre-release) updates"
