"Name","Category","ItemType","Description","ItemTaxCode","UnitPrice","CostingMethod","ManualCost","MovingAverageCost","LastPurchaseCost","LastVendor","VendorProductCode","VendorPrice","BarCode","ReorderPoint","ReorderQuantity","DefaultLocation","DefaultSublocation","Uom","SalesUom","SalesUomRatio1","SalesUomRatio2","PurchasingUom","PurchasingUomRatio1","PurchasingUomRatio2","ProductLength","ProductWidth","ProductHeight","ProductWeight","Remarks","Custom1","Custom2","Custom3","Custom4","Custom5","Custom6","Custom7","Custom8","Custom9","Custom10","IsActive"
" DAHUA DH-IPC-HFW1431S1-0280B-S6  4MP BULLET NETWORK CAMERA","OTHERS","1","4MP BULLET NETWORK CAMERA  DAHUA DH-IPC-HFW1431S1-0280B-S6 ","Taxable","0.00000","Moving Average","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"(037684) SPARK PLUG BOSCH UR4A1130 WAVE 100 ","DISK DRIVES","1","","Taxable","0.00000","Moving Average","","230.00000000","230.00000000","CHIU TIEN UN HARDWARE","","230.00000","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"006311 FUEL FILTER VIC B ","ACCESSORIES","1","FC-208A 9HFI LONG SRP-IZZZZ","Taxable","0.00000","Moving Average","","350.00000000","350.00000000","CHIU TIEN UN HARDWARE","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"05203 SUN STUDENT SCISSORS 4 INCH","OTHERS","1","SUN STUDENT SCISSORS 05203 4 INCH 48/PACK 960/CRTN","Taxable","6.00000","Moving Average","","4.50000000","4.50000000","EASTERN GOLD CORPORATION","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"06103 SUN STUDENT SCISSOR 5 INCH","OTHERS","1","SUN STUDENT SCISSOR 5 "" 06103  24/PACK 600/CRTN","Taxable","11.50000","Moving Average","","8.75000000","8.75000000","EASTERN GOLD CORPORATION","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"06203 SUN STUDENT SCISSORS 5 INCH","OTHERS","1","SUN STUDENT SCISSOR 5 "" 06203  24/PACK 600/CRTN","Taxable","0.00000","Moving Average","","8.75000000","8.75000000","EASTERN GOLD CORPORATION","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"07103 SUN STUDENT SCISSORS 5 INCH","OTHERS","1","SUN STUDENT SCISSOR 5 "" 07103  24/PACK 600/CRTN","Taxable","11.50000","Moving Average","","8.75000000","8.75000000","EASTERN GOLD CORPORATION","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"07105 SUN STUDENT SCISSORS 5 INCH","OTHERS","1","SUN STUDENT SCISSOR 5 "" 07105  24/PACK 600/CRTN","Taxable","11.50000","Moving Average","","8.75000000","8.75000000","EASTERN GOLD CORPORATION","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"07203 SUN STUDENT SCISSORS 5 INCH","OTHERS","1","SUN STUDENT SCISSOR 5 "" 07203  24/PACK 600/CRTN","Taxable","11.50000","Moving Average","","8.75000000","8.75000000","EASTERN GOLD CORPORATION","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"1 1/2"" PAINT BRUSH","DISK DRIVES","1","","Taxable","0.00000","","","","","","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"1 GANG SWITCH WITH REFLECTOR","DISK DRIVES","1","","Taxable","0.00000","Moving Average","","70.00000000","70.00000000","CENTURY LIGHT CENTER","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
"1 PORT FACEPLATE HORIZONTAL","NETWORKING","1","FACEPLATE 1 GANG HORIZONTAL","Taxable","100.00000","Moving Average","","45.00000000","45.00000000","IGLOBE TECHNOLOGY MARKETING CORP.","","","","0.0000","","","","","","1.0000","1.0000","","1.0000","1.0000","","","","","","","","","","","","","","","","True"
